Stock,1,2,3,4,5,6,7,8,9
VNO,1904,1713,1535,1400,745,1419,610,561,318
VMC,2685,1453,1924,1264,1150,1221,865,748,681
WRB,3628,3713,1121,839,765,476,412,388,479
WAB,1518,452,349,368,633,916,1005,633,475
WBA,2331,2871,1772,724,874,554,752,135,192
WMT,1552,1339,3204,1516,556,1255,925,1184,580
WM,2811,2294,621,392,199,361,501,622,314
WAT,1654,1050,592,776,395,524,622,350,278
WEC,2273,1592,884,1090,1685,1168,484,404,625
WFC,3360,4065,1400,1719,578,332,193,255,269
WELL,2572,1246,1279,1761,1564,770,316,340,355
WST,3021,1772,1090,1480,1090,415,430,448,459
WDC,2206,1675,1694,1301,1213,767,745,588,363
WU,3152,255,0,0,0,0,6,23,69
WRK,0,156,481,360,280,32,0,0,0
WY,2043,3459,1706,1433,1399,810,345,366,380
WHR,3370,1697,2514,1777,779,796,520,344,194
WMB,4194,1909,620,433,463,296,435,677,725
WLTW,1552,118,80,354,608,911,578,413,224
WYNN,1587,398,372,225,381,279,336,467,450
XEL,4761,1256,1302,798,647,817,640,788,982
XRX,3515,3107,954,620,718,876,561,289,374
XLNX,2348,1820,949,558,399,628,351,343,221
XYL,0,526,618,253,95,302,358,85,0
YUM,1309,553,485,1136,649,487,463,385,312
ZBRA,2009,1444,1411,892,405,249,318,399,192
ZBH,1317,141,405,451,649,645,698,190,312
ZION,2387,2284,1526,1620,641,951,244,283,269
ZTS,356,192,281,476,143,123,68,193,79
