Symbol,Name,Sector,Score
CBRE,CBRE Group,Real Estate,0.20613989504756242
MA,Mastercard Inc.,Information Technology,0.15105438011328842
KMX,Carmax Inc,Consumer Discretionary,0.08587183308803106
ICE,Intercontinental Exchange,Financials,0.169036304282954
FIS,Fidelity National Information Services,Information Technology,0.15184366477835673
CMG,Chipotle Mexican Grill,Consumer Discretionary,0.21641396474357838
WYNN,Wynn Resorts Ltd,Consumer Discretionary,0.22857202765230142
LYV,Live Nation Entertainment,Communication Services,0.1464331590391755
AIZ,Assurant,Financials,0.21778764537731982
NRG,NRG Energy,Utilities,0.3629876257027891
RF,Regions Financial Corp.,Financials,0.1617349317914976
MNST,Monster Beverage,Consumer Staples,0.19486837448695593
MOS,The Mosaic Company,Materials,0.17570970470251515
EXPE,Expedia Group,Consumer Discretionary,0.19776401529703594
EVRG,Evergy,Utilities,0.31495526782575456
DISCA,Discovery Inc. (Class A),Communication Services,0.257401487834257
CF,CF Industries Holdings Inc,Materials,0.2579952883674275
LDOS,Leidos Holdings,Information Technology,0.44707623800795077
GOOG,Alphabet Inc. (Class C),Communication Services,0.40925451251333694
COO,The Cooper Companies,Health Care,0.09347545264392741
TEL,TE Connectivity Ltd.,Information Technology,0.28825749060436445
DFS,Discover Financial Services,Financials,0.2155153937700015
V,Visa Inc.,Information Technology,0.13970779032032007
MAA,Mid-America Apartments,Real Estate,0.22821388521605238
XYL,Xylem Inc.,Industrials,0.39043627429819366
MPC,Marathon Petroleum,Energy,0.3164663444727289
TSCO,Tractor Supply Company,Consumer Discretionary,0.2561326855990214
AMD,Advanced Micro Devices Inc,Information Technology,0.14216304379507985
RMD,ResMed,Health Care,0.05463056826340517
MTD,Mettler Toledo,Health Care,0.12170364588968649
CPRT,Copart Inc,Industrials,0.15484614540173253
ALB,Albemarle Corp,Materials,0.1927574314407815
FTNT,Fortinet,Information Technology,0.19514027512968832
APA,Apache Corporation,Energy,0.5725968793168312
ESS,Essex Property Trust Inc.,Real Estate,0.11052399135337274
O,Realty Income Corporation,Real Estate,0.125905751190466
STX,Seagate Technology,Information Technology,0.272152172875074
WRK,WestRock,Materials,0.48198158544890385
INFO,IHS Markit Ltd.,Industrials,0.5810632420083679
